reaction	linear_coefficient
rxn00189	1.0
rxn00193	1.0
rxn05036	0.016273094335005504
rxn00527	0.016273094335005504
rxn02339	0.016273094335005504
rxn05951	0.016273094335005504
rxn00085	0.018964884375382355
rxn00187	0.009421265141318977
rxn00086	0.01823075981891594
rxn00350	0.04453688975896244
rxn00351	0.05016517802520494
rxn00646	0.05970879725926832
rxn00615	0.03095558546433378
rxn00616	0.05616052856968066
rxn00420	0.08772788449773646
rxn00692	0.006484766915453322
rxn01101	0.024226110363391656
rxn02914	0.014437782943839472
rxn03445	0.014437782943839472
rxn01868	0.021289612137526
rxn01867	0.021289612137526
rxn10770	0.03230148048452221
rxn00165	0.05065459439618255
rxn00274	0.03805212284350912
rxn00422	1.0
rxn00541	0.03805212284350912
rxn00908	0.039153309678208736
rxn06377	0.039153309678208736
rxn01068	0.04160039153309678
rxn01069	0.07329010155389698
rxn01300	0.0318120641135446
rxn01301	0.027529670867490516
rxn01833	1.0
rxn01241b	0.0035482686895876667
rxn01241c	0.023369631714180838
rxn06600	0.02508258901260247
rxn08647	0.2757861250458828
rxn00695	0.05077694848892696
rxn05740	0.019454300746359964
rxn08615	0.0478404502630613
rxn00148	0.012113055181695828
rxn00459	0.06717239691667687
rxn00558	0.02177902850850361
rxn01331	0.005016517802520494
rxn00781	0.005016517802520494
rxn00786	0.004160039153309678
rxn01100	0.015171907500305885
rxn01106	0.021289612137526
rxn01053	0.10644806068763
rxn01621	0.10644806068763
rxn00979	0.10644806068763
rxn01015	0.06717239691667687
rxn00029	0.045515722500917656
rxn00060	0.05077694848892696
rxn00224	0.07329010155389698
rxn00599	0.022757861250458828
rxn02264	0.3030710877278845
rxn02303	0.0740242261103634
rxn02304	0.08772788449773646
rxn05120	0.013948366572861862
rxn00058	0.0022023736693992414
rxn12825	0.0371956441942983
rxn00375	0.10644806068763
rxn00867	0.0478404502630613
rxn01640	0.13569068885354216
rxn01642	0.13140829560748807
rxn02085	0.03841918512174232
rxn00770	0.026550838125535298
rxn00789	0.04967576165422733
rxn00863	0.06484766915453322
rxn02159	0.06484766915453322
rxn02160	0.03854153921448673
rxn02320	0.09090909090909091
rxn00493	0.09090909090909091
rxn02473	0.028875565887678943
rxn02834	0.2757861250458828
rxn02835	0.01223540927444023
rxn03135	0.02177902850850361
rxn03175	0.05065459439618255
rxn00196	0.0058729964517313105
rxn00933	0.06178881683592316
rxn02360	0.06178881683592316
rxn02933	0.031077939557078185
rxn01925	0.033157959133733025
rxn06335	0.033157959133733025
rxn06586	0.033157959133733025
rxn07434	0.03144500183531139
rxn07433	0.03144500183531139
rxn07435	0.03144500183531139
rxn07432	0.03144500183531139
rxn07430	0.03144500183531139
rxn07431	0.03144500183531139
rxn00265	0.05616052856968066
rxn00991	1.0
rxn02889	0.3922672213385538
rxn00612	0.03217912639177781
rxn00642	0.03034381500061177
rxn03130	0.025816713569068884
rxn03146	0.016273094335005504
rxn03159	0.04172274562584118
rxn03181	0.039153309678208736
rxn03182	0.021044903952037196
rxn03439	0.021044903952037196
rxn03962	0.04967576165422733
rxn06723	0.02985439862963416
rxn06729	0.03780741465802031
rxnLPS1	0.03854153921448673
rxnLPS2	0.12357763367184632
rxnPG22	0.12357763367184632
rxnLPS3	0.040743912883885965
rxnLPS4	0.009176556955830173
rxnLPS5	0.13140829560748807
rxnLPS6	0.06717239691667687
rxn02000	0.06717239691667687
rxnLPS7	1.0
rxnLPS8	0.10889514254251804
rxnVLCFA52	0.04906399119050532
source_cpdLPS2	0.01382601248011746
rxn00313	0.06607121008197724
rxn00337	0.03523797871038786
rxn01643	0.011501284717973816
