reaction	linear_coefficient
rxn05342	0.04502412006432017
rxn05461	0.04502412006432017
rxnUS6	0.04502412006432017
rxn05338	0.04502412006432017
rxnUS14	0.04502412006432017
rxn00211	0.005360014293371449
rxn00213	0.005628015008040021
rxn00214	0.0427907807754154
rxn00704	0.014650705735215293
rxn01008	0.04305878149008397
rxn01117	0.01992138645703055
rxn01329	0.04305878149008397
rxn01675	0.036358763623369664
rxn01997	0.07182419153117742
rxn02003	0.2102912274432732
rxn02331	0.011256030016080042
rxn02404	0.14114704305878148
rxn02405	0.08200821868858317
rxn00374	0.10005360014293371
rxn00377	0.025906735751295335
rxn00429	0.014025370734321958
rxn00430_FAD	0.16696444523852064
rxn35597	0.16696444523852064
rxn00691	0.04493478649276398
rxn01159	0.16696444523852064
rxn01818	0.06744684652492407
rxnGFC1c	0.0653028408075755
rxn04791	0.017866714311238163
rxn04792	0.041986778631409684
rxn39508	0.05779882079685546
rxnGFC1a	0.06449883866356977
rxnGFC1b	0.09960693228515276
rxnOL7	0.0593174915133107
rxnOL3	0.0593174915133107
rxnOL1	0.0593174915133107
rxnMMPE5	0.015544041450777202
rxnSL13	0.015544041450777202
rxnOL6	0.015544041450777202
rxnPC7	0.015544041450777202
rxnOL10	0.015544041450777202
rxnOL5	0.015544041450777202
rxnOL11	0.015544041450777202
rxnPE7	0.015544041450777202
rxnOL9	0.0653028408075755
rxnOL2	0.0653028408075755
rxnOL8	0.0653028408075755
rxnOL4	0.0653028408075755
rxn00001a	0.033142755047346796
rxn00006	0.015097373592996248
rxn00102	0.009112024298731463
rxn00126	0.0012506700017866715
rxn00141	0.002322672860460961
rxn00145	0.012506700017866714
rxn00146	0.025728068608182955
rxn02939	0.025728068608182955
rxn00174	0.02412006432017152
rxn00175	0.008129355011613364
rxn00988	0.008129355011613364
rxn00226	0.008129355011613364
rxn00176	0.008129355011613364
rxn00272	0.2102912274432732
rxn00506	0.00544934786492764
rxn00539	0.06798284795426121
rxn00816d	0.06449883866356977
rxn05289	0.02072538860103627
rxn16383	0.06566017509380025
rxn22818	0.20787922101125603
rxnAtzE	0.14114704305878148
rxn10042	0.0011613364302304806
rxn10122	0.0027693407182419155
rxnFADH2	0.0027693407182419155
rxn12494	0.004109344291584777
rxn12750	0.0008933357155619082
rxn00100	1.0
rxn01747	0.08218688583169555
rxn00654	0.010720028586742899
rxn01746	0.010720028586742899
rxn03188	0.010720028586742899
rxn00711	0.015901375737001965
rxn00912	0.06566017509380025
rxn02190	0.0398427729140611
rxn01626	0.0398427729140611
rxn01791	0.17160979095944257
rxn02175	0.05029480078613543
rxn02341	0.017062712167232447
rxn09177	0.017062712167232447
rxn12510	0.021172056458817222
rxn00604	0.014650705735215293
rxn01200	0.007146685724495266
rxn00785	0.007146685724495266
rxn01115	0.025728068608182955
rxn01116	0.04305878149008397
rxn01333	0.002948007861354297
rxn01476	0.021618724316598177
rxn01477	0.029301411470430586
rxn03884	0.04305878149008397
rxn00293	0.024566732177952473
rxn03638	0.024566732177952473
rxn00461	0.04779346078256209
rxn00555	0.10005360014293371
rxn00851	0.03832410219760586
rxn01485	0.01313203501876005
rxn02008	0.0427907807754154
rxn02011	0.015454707879221012
rxn02285	0.010720028586742899
rxn02286	0.017062712167232447
rxn03164	0.01733071288190102
rxn03408	0.018492049312131498
rxn03901	0.015008040021440057
rxn03904	0.026532070752188674
rxn09345	0.01411470430587815
rxn10199	0.022333392889047704
rxn00178	0.008218688583169554
rxn00992	0.015544041450777202
rxn01452	0.01304270144720386
rxn01453	0.011881365016973379
rxn02168	1.0
rxn11920	0.0032160085760228694
rxnPHBDP	0.012328032874754332
rxn01314	0.19206717884581026
rxn01315	0.003930677148472396
